boundary_is_bbox_fallback,boundary_source,room_type,sample_id,source_scene_json
False,room_floor_mesh,livingroom,3f2629fe-a957-4e83-893a-28d476318740_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3f2629fe-a957-4e83-893a-28d476318740.json
False,room_floor_mesh,livingroom,62062aeb-6bf3-4b6b-964c-94583cb1e030_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/62062aeb-6bf3-4b6b-964c-94583cb1e030.json
False,room_floor_mesh,bedroom,555d38a7-689e-4340-ae91-a9a1dd650216_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/555d38a7-689e-4340-ae91-a9a1dd650216.json
False,room_floor_mesh,bedroom,555d38a7-689e-4340-ae91-a9a1dd650216_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/555d38a7-689e-4340-ae91-a9a1dd650216.json
False,room_floor_mesh,livingroom,82085a6f-82f5-4a49-a5b1-3f69e530edb0_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/82085a6f-82f5-4a49-a5b1-3f69e530edb0.json
False,room_floor_mesh,bedroom,82085a6f-82f5-4a49-a5b1-3f69e530edb0_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/82085a6f-82f5-4a49-a5b1-3f69e530edb0.json
False,room_floor_mesh,livingroom,4fad04b4-6651-41ff-bacc-b96090d4d66e_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/4fad04b4-6651-41ff-bacc-b96090d4d66e.json
False,room_floor_mesh,livingroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json
False,room_floor_mesh,bedroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json
False,room_floor_mesh,bedroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json
False,room_floor_mesh,kidsroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json
False,room_floor_mesh,bedroom,75c62dac-2d9c-4d49-b43a-b66986acddd4_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/75c62dac-2d9c-4d49-b43a-b66986acddd4.json
False,room_floor_mesh,bedroom,75c62dac-2d9c-4d49-b43a-b66986acddd4_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/75c62dac-2d9c-4d49-b43a-b66986acddd4.json
False,room_floor_mesh,livingroom,75c62dac-2d9c-4d49-b43a-b66986acddd4_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/75c62dac-2d9c-4d49-b43a-b66986acddd4.json
False,room_floor_mesh,livingroom,f5ee5167-b1c2-4fb2-86b4-5f5b609fe371_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/f5ee5167-b1c2-4fb2-86b4-5f5b609fe371.json
False,room_floor_mesh,bedroom,f5ee5167-b1c2-4fb2-86b4-5f5b609fe371_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/f5ee5167-b1c2-4fb2-86b4-5f5b609fe371.json
False,room_floor_mesh,bedroom,035d7de7-b8eb-4ef6-8acc-d49216b97818_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/035d7de7-b8eb-4ef6-8acc-d49216b97818.json
False,room_floor_mesh,hallway,c3736ed2-0444-41af-a49c-dad4e42a65b6_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c3736ed2-0444-41af-a49c-dad4e42a65b6.json
False,room_floor_mesh,bedroom,c3736ed2-0444-41af-a49c-dad4e42a65b6_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c3736ed2-0444-41af-a49c-dad4e42a65b6.json
False,room_floor_mesh,kidsroom,c3736ed2-0444-41af-a49c-dad4e42a65b6_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c3736ed2-0444-41af-a49c-dad4e42a65b6.json
False,room_floor_mesh,livingroom,c3736ed2-0444-41af-a49c-dad4e42a65b6_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c3736ed2-0444-41af-a49c-dad4e42a65b6.json
False,room_floor_mesh,cloakroom,c3736ed2-0444-41af-a49c-dad4e42a65b6_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c3736ed2-0444-41af-a49c-dad4e42a65b6.json
False,room_floor_mesh,aisle,c3736ed2-0444-41af-a49c-dad4e42a65b6_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c3736ed2-0444-41af-a49c-dad4e42a65b6.json
False,room_floor_mesh,bedroom,9a697b01-5800-40fe-b290-86c2779e2517_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/9a697b01-5800-40fe-b290-86c2779e2517.json
False,room_floor_mesh,bedroom,9a697b01-5800-40fe-b290-86c2779e2517_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/9a697b01-5800-40fe-b290-86c2779e2517.json
False,room_floor_mesh,livingroom,9a697b01-5800-40fe-b290-86c2779e2517_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/9a697b01-5800-40fe-b290-86c2779e2517.json
False,room_floor_mesh,corridor,fde749eb-c254-4ab8-af73-c9591a476a85_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/fde749eb-c254-4ab8-af73-c9591a476a85.json
False,room_floor_mesh,livingroom,60b0ee4f-0ee5-4e85-b907-9d03003c257a_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/60b0ee4f-0ee5-4e85-b907-9d03003c257a.json
False,room_floor_mesh,laundryroom,60b0ee4f-0ee5-4e85-b907-9d03003c257a_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/60b0ee4f-0ee5-4e85-b907-9d03003c257a.json
False,room_floor_mesh,bedroom,60b0ee4f-0ee5-4e85-b907-9d03003c257a_room_07,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/60b0ee4f-0ee5-4e85-b907-9d03003c257a.json
False,room_floor_mesh,livingroom,0c79dbe0-dd22-403a-a757-1afd9a33ffe7_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/0c79dbe0-dd22-403a-a757-1afd9a33ffe7.json
False,room_floor_mesh,bedroom,0c79dbe0-dd22-403a-a757-1afd9a33ffe7_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/0c79dbe0-dd22-403a-a757-1afd9a33ffe7.json
False,room_floor_mesh,livingroom,76b9e260-e7f4-43a2-96bc-45ddfc3e3c22_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/76b9e260-e7f4-43a2-96bc-45ddfc3e3c22.json
False,room_floor_mesh,livingroom,b3c0420b-d411-4886-9e3b-56c1384bc521_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/b3c0420b-d411-4886-9e3b-56c1384bc521.json
False,room_floor_mesh,livingroom,db79aa4f-4fab-459a-9137-ee54e31b46e2_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/db79aa4f-4fab-459a-9137-ee54e31b46e2.json
False,room_floor_mesh,kidsroom,db79aa4f-4fab-459a-9137-ee54e31b46e2_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/db79aa4f-4fab-459a-9137-ee54e31b46e2.json
False,room_floor_mesh,kidsroom,e604494e-6f67-4fe9-af75-5f30b819d8aa_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/e604494e-6f67-4fe9-af75-5f30b819d8aa.json
False,room_floor_mesh,livingroom,e604494e-6f67-4fe9-af75-5f30b819d8aa_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/e604494e-6f67-4fe9-af75-5f30b819d8aa.json
False,room_floor_mesh,bedroom,36b29e71-bdce-40c6-948e-ed904eb94282_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36b29e71-bdce-40c6-948e-ed904eb94282.json
False,room_floor_mesh,livingroom,825acf77-b557-44bc-82f8-ccb2b9e1ca58_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/825acf77-b557-44bc-82f8-ccb2b9e1ca58.json
False,room_floor_mesh,bedroom,825acf77-b557-44bc-82f8-ccb2b9e1ca58_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/825acf77-b557-44bc-82f8-ccb2b9e1ca58.json
False,room_floor_mesh,bedroom,825acf77-b557-44bc-82f8-ccb2b9e1ca58_room_08,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/825acf77-b557-44bc-82f8-ccb2b9e1ca58.json
False,room_floor_mesh,bedroom,5ea5747d-3f89-4d8f-b9a5-ed4631b2f20f_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5ea5747d-3f89-4d8f-b9a5-ed4631b2f20f.json
False,room_floor_mesh,bedroom,5ea5747d-3f89-4d8f-b9a5-ed4631b2f20f_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5ea5747d-3f89-4d8f-b9a5-ed4631b2f20f.json
False,room_floor_mesh,study,5ea5747d-3f89-4d8f-b9a5-ed4631b2f20f_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5ea5747d-3f89-4d8f-b9a5-ed4631b2f20f.json
False,room_floor_mesh,bedroom,834df1f9-c2e8-4185-9412-91f0b9d1ddf4_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/834df1f9-c2e8-4185-9412-91f0b9d1ddf4.json
False,room_floor_mesh,bedroom,ce9be83e-8209-48cb-910a-17f7375b15c6_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ce9be83e-8209-48cb-910a-17f7375b15c6.json
False,room_floor_mesh,bedroom,ce9be83e-8209-48cb-910a-17f7375b15c6_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ce9be83e-8209-48cb-910a-17f7375b15c6.json
False,room_floor_mesh,study,ce9be83e-8209-48cb-910a-17f7375b15c6_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ce9be83e-8209-48cb-910a-17f7375b15c6.json
False,room_floor_mesh,livingroom,ce9be83e-8209-48cb-910a-17f7375b15c6_room_07,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ce9be83e-8209-48cb-910a-17f7375b15c6.json
False,room_floor_mesh,diningroom,ce9be83e-8209-48cb-910a-17f7375b15c6_room_08,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ce9be83e-8209-48cb-910a-17f7375b15c6.json
False,room_floor_mesh,livingroom,5d4526b7-8bfd-45b3-bd31-80ddf5a8b5e9_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5d4526b7-8bfd-45b3-bd31-80ddf5a8b5e9.json
False,room_floor_mesh,bedroom,5d4526b7-8bfd-45b3-bd31-80ddf5a8b5e9_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5d4526b7-8bfd-45b3-bd31-80ddf5a8b5e9.json
False,room_floor_mesh,bedroom,5d4526b7-8bfd-45b3-bd31-80ddf5a8b5e9_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5d4526b7-8bfd-45b3-bd31-80ddf5a8b5e9.json
False,room_floor_mesh,diningroom,5411a1f5-6e17-4aef-a446-f945570aa6fc_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5411a1f5-6e17-4aef-a446-f945570aa6fc.json
False,room_floor_mesh,bedroom,5411a1f5-6e17-4aef-a446-f945570aa6fc_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5411a1f5-6e17-4aef-a446-f945570aa6fc.json
False,room_floor_mesh,livingroom,5411a1f5-6e17-4aef-a446-f945570aa6fc_room_07,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5411a1f5-6e17-4aef-a446-f945570aa6fc.json
False,room_floor_mesh,bedroom,5411a1f5-6e17-4aef-a446-f945570aa6fc_room_09,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5411a1f5-6e17-4aef-a446-f945570aa6fc.json
False,room_floor_mesh,cloakroom,5411a1f5-6e17-4aef-a446-f945570aa6fc_room_10,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5411a1f5-6e17-4aef-a446-f945570aa6fc.json
False,room_floor_mesh,livingroom,6d9daf45-d1ee-4749-9659-57e80d84a76f_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6d9daf45-d1ee-4749-9659-57e80d84a76f.json
False,room_floor_mesh,bedroom,6d9daf45-d1ee-4749-9659-57e80d84a76f_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6d9daf45-d1ee-4749-9659-57e80d84a76f.json
False,room_floor_mesh,bedroom,5a6ad201-c801-4ea3-bd67-4d7bdff0b77a_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5a6ad201-c801-4ea3-bd67-4d7bdff0b77a.json
False,room_floor_mesh,study,5a6ad201-c801-4ea3-bd67-4d7bdff0b77a_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5a6ad201-c801-4ea3-bd67-4d7bdff0b77a.json
False,room_floor_mesh,bedroom,5a6ad201-c801-4ea3-bd67-4d7bdff0b77a_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5a6ad201-c801-4ea3-bd67-4d7bdff0b77a.json
False,room_floor_mesh,cloakroom,5a6ad201-c801-4ea3-bd67-4d7bdff0b77a_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5a6ad201-c801-4ea3-bd67-4d7bdff0b77a.json
False,room_floor_mesh,livingroom,ab7e41d0-fc12-46f5-bc64-56b18bca9b15_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ab7e41d0-fc12-46f5-bc64-56b18bca9b15.json
False,room_floor_mesh,kidsroom,ab7e41d0-fc12-46f5-bc64-56b18bca9b15_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ab7e41d0-fc12-46f5-bc64-56b18bca9b15.json
False,room_floor_mesh,elderlyroom,ab7e41d0-fc12-46f5-bc64-56b18bca9b15_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ab7e41d0-fc12-46f5-bc64-56b18bca9b15.json
False,room_floor_mesh,livingroom,213cf747-e1bc-45cc-aa5c-3f20450abdcb_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/213cf747-e1bc-45cc-aa5c-3f20450abdcb.json
False,room_floor_mesh,bedroom,908633f6-545c-4016-a2e7-f334120ac392_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/908633f6-545c-4016-a2e7-f334120ac392.json
False,room_floor_mesh,livingroom,908633f6-545c-4016-a2e7-f334120ac392_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/908633f6-545c-4016-a2e7-f334120ac392.json
False,room_floor_mesh,bedroom,df134fe9-7d01-4088-bad7-7be2e701ca2f_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/df134fe9-7d01-4088-bad7-7be2e701ca2f.json
False,room_floor_mesh,livingroom,6dd08157-3609-4a98-856e-2afc73369fbc_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6dd08157-3609-4a98-856e-2afc73369fbc.json
False,room_floor_mesh,bedroom,2175e145-fe04-4b66-a0e9-6f04a6497bcf_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/2175e145-fe04-4b66-a0e9-6f04a6497bcf.json
False,room_floor_mesh,livingroom,2175e145-fe04-4b66-a0e9-6f04a6497bcf_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/2175e145-fe04-4b66-a0e9-6f04a6497bcf.json
False,room_floor_mesh,hallway,2175e145-fe04-4b66-a0e9-6f04a6497bcf_room_08,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/2175e145-fe04-4b66-a0e9-6f04a6497bcf.json
False,room_floor_mesh,livingroom,caff9162-0c11-427b-b471-b1c9b495896a_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/caff9162-0c11-427b-b471-b1c9b495896a.json
False,room_floor_mesh,bedroom,caff9162-0c11-427b-b471-b1c9b495896a_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/caff9162-0c11-427b-b471-b1c9b495896a.json
False,room_floor_mesh,kidsroom,caff9162-0c11-427b-b471-b1c9b495896a_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/caff9162-0c11-427b-b471-b1c9b495896a.json
False,room_floor_mesh,bedroom,198eb9ec-9059-4e26-958e-dc8fb8187713_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/198eb9ec-9059-4e26-958e-dc8fb8187713.json
False,room_floor_mesh,livingroom,7c2e62e7-ab51-4900-bfdc-1932415fb295_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/7c2e62e7-ab51-4900-bfdc-1932415fb295.json
False,room_floor_mesh,bedroom,7c2e62e7-ab51-4900-bfdc-1932415fb295_room_07,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/7c2e62e7-ab51-4900-bfdc-1932415fb295.json
False,room_floor_mesh,bedroom,cbbaa3ef-e12d-42bf-a8c6-35719d6e86c8_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/cbbaa3ef-e12d-42bf-a8c6-35719d6e86c8.json
False,room_floor_mesh,bedroom,cbbaa3ef-e12d-42bf-a8c6-35719d6e86c8_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/cbbaa3ef-e12d-42bf-a8c6-35719d6e86c8.json
False,room_floor_mesh,livingroom,3f6df3ff-611d-4259-a65f-57641b3e993e_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3f6df3ff-611d-4259-a65f-57641b3e993e.json
False,room_floor_mesh,bedroom,3f6df3ff-611d-4259-a65f-57641b3e993e_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3f6df3ff-611d-4259-a65f-57641b3e993e.json
False,room_floor_mesh,bedroom,3f6df3ff-611d-4259-a65f-57641b3e993e_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3f6df3ff-611d-4259-a65f-57641b3e993e.json
False,room_floor_mesh,kidsroom,1bb9605f-fd81-45ef-a483-85c41038bc80_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/1bb9605f-fd81-45ef-a483-85c41038bc80.json
False,room_floor_mesh,bedroom,1bb9605f-fd81-45ef-a483-85c41038bc80_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/1bb9605f-fd81-45ef-a483-85c41038bc80.json
False,room_floor_mesh,study,1bb9605f-fd81-45ef-a483-85c41038bc80_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/1bb9605f-fd81-45ef-a483-85c41038bc80.json
False,room_floor_mesh,livingroom,1bb9605f-fd81-45ef-a483-85c41038bc80_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/1bb9605f-fd81-45ef-a483-85c41038bc80.json
False,room_floor_mesh,livingroom,058205e1-6ec4-4342-a609-1ecce3551c3b_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/058205e1-6ec4-4342-a609-1ecce3551c3b.json
